location,division,location_id,division_id,pangolin_lineage,prev_10_day,location_lineage,mean_growth_rate,nday_threshold,first_date,end_date
South Africa,South Africa,ZAF,ZAF,B.1.1.412,0.0636042402826855,South Africa_South Africa_B.1.1.412,-0.03689710100642478,10,2020-07-13,2020-07-23
Harris,Texas,48201,TX,B.1.596,0.06263982102908278,Texas_Harris_B.1.596,0.00900309766117688,10,2020-06-22,2020-07-02
Los Angeles,California,06037,CA,B.1.1,0.061855670103092786,California_Los Angeles_B.1.1,-0.025059561186107325,10,2020-03-22,2020-04-01
Dane,Wisconsin,55025,WI,B.1.162,0.05925925925925926,Wisconsin_Dane_B.1.162,-0.03226390365984655,10,2020-06-14,2020-06-24
Alameda,California,06001,CA,B.1.243,0.058823529411764705,California_Alameda_B.1.243,-0.0646515856996714,10,2020-08-09,2020-08-19
King,Washington,53033,WA,B.1.371,0.05759162303664921,Washington_King_B.1.371,0,10,2020-03-29,2020-04-08
Bronx,New York,36005,NY,B.1.1.7,0.05641025641025641,New York_Bronx_B.1.1.7,-0.22070043767387013,10,2021-02-01,2021-02-11
Bronx,New York,36005,NY,B.1.526.1,0.05641025641025641,New York_Bronx_B.1.526.1,0.060169429807488566,10,2021-01-17,2021-01-27
Harris,Texas,48201,TX,A.3,0.05592841163310962,Texas_Harris_A.3,-0.030021792065705367,10,2020-03-30,2020-04-09
San Diego,California,06073,CA,B.1.166,0.055710306406685235,California_San Diego_B.1.166,-0.02965152688663927,10,2020-03-23,2020-04-02
Dane,Wisconsin,55025,WI,B.1.139,0.05555555555555555,Wisconsin_Dane_B.1.139,0.04218334232256667,10,2020-06-02,2020-06-12
South Africa,South Africa,ZAF,ZAF,B.1.1,0.053003533568904596,South Africa_South Africa_B.1.1,-0.019588494612833518,10,2020-03-30,2020-04-09
Kings,New York,36047,NY,B.1.1.434,0.05291005291005291,New York_Kings_B.1.1.434,-0.13661528289399616,10,2020-08-24,2020-09-03
Alameda,California,06001,CA,B.1.1.174,0.05190311418685121,California_Alameda_B.1.1.174,0.031452674186768996,10,2020-05-17,2020-05-27
Alameda,California,06001,CA,B.1.453,0.05190311418685121,California_Alameda_B.1.453,-0.1129515642484293,10,2020-06-21,2020-07-01
Los Angeles,California,06037,CA,B.1.243,0.05154639175257732,California_Los Angeles_B.1.243,-0.23062252466778355,10,2020-12-15,2020-12-25
Santa Clara,California,06085,CA,B.1.399,0.05154639175257732,California_Santa Clara_B.1.399,0.07336799551150337,10,2020-09-28,2020-10-08
Yakima,Washington,53077,WA,B.1,0.05017921146953405,Washington_Yakima_B.1,-0.16536881189967098,10,2020-03-30,2020-04-09
Yakima,Washington,53077,WA,B.1.429,0.05017921146953405,Washington_Yakima_B.1.429,0,7,2021-01-24,2021-02-03
New York,New York,36061,NY,B.1.526.1,0.05012531328320802,New York_New York_B.1.526.1,-0.02764489078072564,10,2021-01-10,2021-01-20
Massachusetts,Massachusetts,MA,MA,B.1.596,0.04895104895104895,Massachusetts_Massachusetts_B.1.596,-0.02120426070046829,10,2021-01-03,2021-01-13
San Francisco,California,06075,CA,B.1,0.04823151125401929,California_San Francisco_B.1,0.005775740256004673,7,2020-04-26,2020-05-06
New York,New York,36061,NY,B.1.575,0.047619047619047616,New York_New York_B.1.575,0.04459456508682478,10,2021-01-17,2021-01-27
San Diego,California,06073,CA,B.1.561,0.04735376044568245,California_San Diego_B.1.561,0.09693842759433216,10,2020-11-15,2020-11-25
Yakima,Washington,53077,WA,B.1.2,0.04659498207885305,Washington_Yakima_B.1.2,0.031038052572249154,6,2020-10-19,2020-10-29
New York,New York,36061,NY,B.1.2,0.042606516290726815,New York_New York_B.1.2,-0.002492055692222896,10,2020-10-26,2020-11-05
New York,New York,36061,NY,B.1.243,0.042606516290726815,New York_New York_B.1.243,-5.857309245914957e-4,10,2020-11-30,2020-12-10
Harris,Texas,48201,TX,B.1.1,0.042505592841163314,Texas_Harris_B.1.1,-0.0032230293262388247,10,2020-03-30,2020-04-09
Massachusetts,Massachusetts,MA,MA,B.1.433,0.04195804195804196,Massachusetts_Massachusetts_B.1.433,-0.04914754119253593,10,2020-11-01,2020-11-11
San Diego,California,06073,CA,B.1.232,0.04178272980501393,California_San Diego_B.1.232,-0.02018059498680363,10,2021-01-05,2021-01-15
Alameda,California,06001,CA,B,0.04152249134948097,California_Alameda_B,-0.07089131270546133,10,2020-04-12,2020-04-22
Los Angeles,California,06037,CA,B.1.400,0.041237113402061855,California_Los Angeles_B.1.400,-0.07481155341852014,10,2020-12-20,2020-12-30
Harris,Texas,48201,TX,B.1.595,0.040268456375838924,Texas_Harris_B.1.595,-0.014294597609804973,10,2020-03-30,2020-04-09
New York,New York,36061,NY,B.1.1,0.040100250626566414,New York_New York_B.1.1,-0.0688715285235839,10,2020-03-10,2020-03-20
New York,New York,36061,NY,B.1.409,0.040100250626566414,New York_New York_B.1.409,-0.005103103593074886,10,2020-11-09,2020-11-19
Santa Clara,California,06085,CA,B.1.243,0.03865979381443299,California_Santa Clara_B.1.243,-0.10537815191911044,10,2020-08-03,2020-08-13
San Francisco,California,06075,CA,A.1,0.03858520900321544,California_San Francisco_A.1,-0.313050645035247,7,2020-04-26,2020-05-06
Harris,Texas,48201,TX,B.1.234,0.03803131991051454,Texas_Harris_B.1.234,-0.03311484888254432,10,2020-08-17,2020-08-27
Kings,New York,36047,NY,B.1.2,0.037037037037037035,New York_Kings_B.1.2,-0.019257861518954894,10,2021-01-04,2021-01-14
Santa Clara,California,06085,CA,B.1,0.03608247422680412,California_Santa Clara_B.1,0.04658185427358957,6,2020-04-06,2020-04-16
South Africa,South Africa,ZAF,ZAF,B.1.237,0.0353356890459364,South Africa_South Africa_B.1.237,-0.32849638989611135,7,2020-08-10,2020-08-20
Alameda,California,06001,CA,B.1.429,0.03460207612456748,California_Alameda_B.1.429,0,10,2020-12-07,2020-12-17
Alameda,California,06001,CA,B.1.503,0.03460207612456748,California_Alameda_B.1.503,-0.020314634454220517,10,2020-05-10,2020-05-20
Santa Clara,California,06085,CA,B.1.503,0.03350515463917526,California_Santa Clara_B.1.503,0.024698205575138705,10,2020-05-10,2020-05-20
Harris,Texas,48201,TX,B.1.396,0.029082774049217,Texas_Harris_B.1.396,0,10,2020-06-29,2020-07-09
United Kingdom,United Kingdom,GBR,GBR,B.1.177,0.028855721393034824,United Kingdom_United Kingdom_B.1.177,0.14919355410109594,10,2020-07-26,2020-08-05
United Kingdom,United Kingdom,GBR,GBR,B.1.1.369,0.026865671641791045,United Kingdom_United Kingdom_B.1.1.369,0.2272332894701329,10,2020-03-08,2020-03-18
Santa Clara,California,06085,CA,A.1,0.02577319587628866,California_Santa Clara_A.1,-0.04970178399436271,10,2020-03-09,2020-03-19
New York,New York,36061,NY,B.1.1.434,0.02506265664160401,New York_New York_B.1.1.434,0.03738348355632127,10,2020-10-04,2020-10-14
New York,New York,36061,NY,B.1.526.2,0.015037593984962405,New York_New York_B.1.526.2,0.016875627159945904,10,2021-01-03,2021-01-13
